"2022-08-01 09:23:28 [restartedMain] INFO  c.c.a.AuthorizationApplication - Starting AuthorizationApplication using Java 17.0.3 on HP with PID 14800 (C:\Users\yuvati\Desktop\Portfolio project\Authorization\target\classes started by yuvati in C:\Users\yuvati\Desktop\Portfolio project\Authorization)
""2022-08-01 09:23:28 [restartedMain] INFO  c.c.a.AuthorizationApplication - No active profile set, falling back to 1 default profile: "default"
""2022-08-01 09:23:28 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2022-08-01 09:23:28 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2022-08-01 09:23:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2022-08-01 09:23:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 57 ms. Found 1 JPA repository interfaces.
""2022-08-01 09:23:31 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
""2022-08-01 09:23:31 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2022-08-01 09:23:31 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
""2022-08-01 09:23:31 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2022-08-01 09:23:31 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2420 ms
""2022-08-01 09:23:31 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2022-08-01 09:23:31 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2022-08-01 09:23:31 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:pms'
""2022-08-01 09:23:31 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-08-01 09:23:31 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
""2022-08-01 09:23:32 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2022-08-01 09:23:32 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
""2022-08-01 09:23:33 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-08-01 09:23:33 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2022-08-01 09:23:33 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2022-08-01 09:23:34 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure any request
""2022-08-01 09:23:34 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2022-08-01 09:23:34 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
""2022-08-01 09:23:34 [restartedMain] INFO  c.c.a.AuthorizationApplication - Started AuthorizationApplication in 6.461 seconds (JVM running for 7.775)
""2022-08-01 09:56:54 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2022-08-01 09:56:54 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2022-08-01 09:56:54 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 45 ms
""2022-08-01 09:56:54 [http-nio-8081-exec-2] INFO  c.c.a.controller.AuthController - Authentication started....
""2022-08-01 09:56:54 [http-nio-8081-exec-2] INFO  c.c.a.controller.AuthController - Authentication successfully..
""2022-08-01 09:56:54 [http-nio-8081-exec-2] INFO  c.c.a.controller.AuthController - Received request to generate token for blessy
""2022-08-01 09:57:03 [http-nio-8081-exec-3] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:03 [http-nio-8081-exec-3] INFO  c.c.a.controller.AuthController - Getting userId by token...
""2022-08-01 09:57:05 [http-nio-8081-exec-5] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:05 [http-nio-8081-exec-6] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:05 [http-nio-8081-exec-5] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-01 09:57:05 [http-nio-8081-exec-6] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-01 09:57:05 [http-nio-8081-exec-7] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:05 [http-nio-8081-exec-8] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:05 [http-nio-8081-exec-7] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-01 09:57:05 [http-nio-8081-exec-8] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-01 09:57:10 [http-nio-8081-exec-9] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:10 [http-nio-8081-exec-9] INFO  c.c.a.controller.AuthController - Getting userId by token...
""2022-08-01 09:57:10 [http-nio-8081-exec-10] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:10 [http-nio-8081-exec-10] INFO  c.c.a.controller.AuthController - Getting userId by token...
""2022-08-01 09:57:10 [http-nio-8081-exec-1] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:10 [http-nio-8081-exec-2] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:10 [http-nio-8081-exec-4] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:10 [http-nio-8081-exec-1] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-01 09:57:10 [http-nio-8081-exec-3] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
""2022-08-01 09:57:10 [http-nio-8081-exec-2] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-01 09:57:10 [http-nio-8081-exec-4] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-01 09:57:10 [http-nio-8081-exec-6] INFO  c.c.a.util.JwtRequestFilter - SecurityContextHolder was null!!!
